ABLG,AlternateID,CommonNameOLD,FamilyOLD,GenusOLD,SpeciesNameOLD,DonatingLab,Collector,CollectionDate,CollectionYear,CollectionMonth,CollectionDay,StateCountry,MarineRegion,FreshwaterWatershed,Location1,Location2,StartLatitudeDD,StartLongitudeDD,EndLatitudeDD,EndLongitudeDD,EstimatedLatLongYesNo,CruiseID,HaulID,StationID,Equipment_Gear,DepthM,StartDepthM,EndDepthM,TempC,Habitat,LengthMM,LengthType,FishDepthMM,WeightG,Lifestage,AgeYRS,Sex,CaptureTime,ReleaseTime,IdentifiedBy,Preservation,SampleRoom,SampleLocation,SampleSublocation,ExtractedBy,ExtractionDate,ExtractionMethod,ExtractionPlate,ExtractionWell,DNAngul,DNAquality,DNAroom,DNAlocation,DNAsublocation,Comments,WGSDateYYYYMMDD,WGSBatchID,WGSLaneID,WGSDate2YYYYMMDD,WGSBatchID2,WGSLaneID2,GTSeqDateYYYYMMDD,GTSeqPanel,GTSeqDate2YYYYMMDD,GTSeqPanel2,GTSeqDate3YYYYMMDD,GTSeqPanel3
37160,BD001;F509,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,3,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,24.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,A01,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37161,BD002;120F,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,3,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,14.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,B01,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37162,BD003;F1086,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,3,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,17.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,C01,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37163,BD004;F1048,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,4,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,17.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,D01,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37164,BD005;F517,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,6,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,24.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,E01,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37165,BD006;152F,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,6,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,14.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,F01,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37166,BD007;F3063,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,6,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,15.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,G01,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37167,BD008;F728@,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,7,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,23.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,H01,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37168,BD009;F463,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,7,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,24.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,A02,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37169,BD010;F1144,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,7,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,17.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,B02,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37170,BD011;F91,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,7,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,15.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,C02,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37171,BD012;H584,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,7,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,13.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,D02,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37172,BD013;F29@,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,7,7,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,15.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,E02,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37173,LC014;X426_776,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2018,11,13,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Live Capture,,,,,,,,,,,10.4,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,F02,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37174,BD015;=382,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,4,11,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,16.8,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,G02,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37175,BD016;H478,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,4,11,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,13.8,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,H02,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37176,BD017;H202,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,4,15,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,17.8,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,A03,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37177,BD018;F2114,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,5,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,17.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,B03,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37178,BD019;H338@,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,7,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,16.1,M,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,C03,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37179,BD020;H71,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,9,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,18.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,D03,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37180,BD022;X285,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,21,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,15.1,M,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,E03,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37181,BD023;X551,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,17,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,9.1,M,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,F03,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37182,BD024;X540,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,19,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,9.1,M,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,G03,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37183,BD025;X438,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,25,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,11.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,H03,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37184,BD026;X357,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,24,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,15.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,A04,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37185,BD027;X401,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,19,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,11.1,M,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,B04,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37186,BD028;X240,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,25,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,17.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,C04,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37187,BD029;X350,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,25,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,15.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,D04,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37188,BD030;T184,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,25,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,17.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,E04,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37189,BD031;T408,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,22,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,9.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,F04,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37190,BD032;T432,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2019,7,22,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,9.1,M,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,G04,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
