"Sample","TotalPairs","UniqueAlignments","MappingEfficiency","NoAlignment","NotUnique","Discarded","TotalNumberOfCsAnalysed","TotalMethylatedCsInCpGCotext","TotalMethylatedCsInCHGCotext","TotalMethylatedCsInCHHCotext","TotalMethylatedCsInUnknownCotext","TotalUnmethylatedCsInCpGCotext","TotalUnmethylatedCsInCHGCotext","TotalUnmethylatedCsInCHHCotext","TotalUnmethylatedCsInUnknownCotext","CmethylatedInCpGcontext","CmethylatedInCHGcontext","CmethylatedInCHHcontext"
"37160_S51_L001_R1_trimmed",713,575,80.6,138,0,0,12993,220,16,68,0,135,1709,10845,0,62,0,0
"37161_S52_L001_R1_trimmed",1014,790,77.9,224,0,0,17820,297,25,132,0,158,2346,14862,0,65,1,0
"37162_S53_L001_R1_trimmed",838,636,75.9,202,0,0,14340,223,29,95,0,147,1882,11964,0,60,1,0
"37163_S54_L001_R1_trimmed",1037,803,77.4,234,0,0,18158,334,23,119,0,174,2392,15116,0,65,1,0
"37164_S55_L001_R1_trimmed",1238,957,77.3,281,0,0,21603,335,35,158,0,224,2845,18006,1,59,1,0
"37165_S56_L001_R1_trimmed",1266,963,76.1,303,0,0,21740,363,38,179,0,215,2851,18094,1,62,1,1
"37166_S57_L001_R1_trimmed",2093,1630,77.9,463,0,0,36836,654,35,271,0,358,4863,30655,0,64,0,0
"37167_S58_L001_R1_trimmed",952,728,76.5,224,0,0,16453,289,21,120,0,162,2165,13696,1,64,1,0
"37168_S59_L001_R1_trimmed",868,677,78,191,0,0,15288,244,19,144,0,162,2017,12702,0,60,0,1
"37169_S60_L001_R1_trimmed",1676,1291,77,385,0,0,29110,430,43,247,0,316,3835,24239,0,57,1,1
"37170_S61_L001_R1_trimmed",1607,1284,79.9,323,0,0,28973,453,35,194,0,285,3821,24185,0,61,0,0
"37171_S62_L001_R1_trimmed",1757,1387,78.9,370,0,0,31331,535,31,183,0,313,4128,26141,1,63,0,0
"37172_S63_L001_R1_trimmed",1978,1552,78.5,426,0,0,35021,590,58,281,0,318,4607,29167,3,65,1,1
"37173_S64_L001_R1_trimmed",1754,1378,78.6,376,0,0,31114,508,49,171,0,316,4094,25976,5,61,1,0
"37174_S65_L001_R1_trimmed",2300,1759,76.5,541,0,0,39719,669,39,386,0,390,5247,32988,0,63,0,1
"37175_S66_L001_R1_trimmed",908,599,66,309,0,0,13544,236,11,103,0,136,1790,11268,0,63,0,0
"37176_S67_L001_R1_trimmed",1572,1223,77.8,349,0,0,27643,459,35,198,0,287,3638,23026,1,61,1,0
"37177_S68_L001_R1_trimmed",1499,1183,78.9,316,0,0,26695,459,34,186,0,236,3523,22257,1,66,1,0
"37178_S69_L001_R1_trimmed",1113,874,78.5,239,0,0,19755,328,13,163,0,206,2626,16419,1,61,0,1
"37179_S70_L001_R1_trimmed",1221,949,77.7,272,0,0,21448,372,17,121,0,215,2834,17889,0,63,0,0
"37180_S71_L001_R1_trimmed",1563,1203,77,360,0,0,27150,428,19,188,0,287,3598,22630,2,59,0,0
"37181_S72_L001_R1_trimmed",570,424,74.4,146,0,0,9580,149,18,61,0,103,1259,7990,0,59,1,0
"37182_S73_L001_R1_trimmed",1548,1248,80.6,300,0,0,28203,475,30,237,0,288,3719,23454,0,62,0,1
